Stud Qu1 Qu2 Qu3 Qu4 Qu5
1230 052 007 100 078 034
2130 090 036 090 077 030
3120 100 045 020 090 070
4530 011 017 081 032 077
5670 020 012 045 078 034
6130 034 080 055 078 045
7870 060 100 056 078 078
8020 070 010 066 078 056
9890 034 009 077 078 020
1231 052 007 100 078 034
2131 090 036 090 077 030
3121 100 045 020 090 070
4531 011 017 081 032 077
5671 020 012 045 078 034
6131 034 080 055 078 045
7871 060 100 056 078 078
8021 070 010 066 078 056
9891 034 009 077 078 020
1232 052 007 100 078 034
2132 090 036 090 077 030
3122 100 045 020 090 070
4532 011 017 081 032 077
5672 020 012 045 078 034
6132 034 080 055 078 045
7872 060 100 056 078 078
8022 070 010 066 078 056
9892 034 009 077 078 020
1233 052 007 100 078 034
2133 090 036 090 077 030
3123 100 045 020 090 070
4533 011 017 081 032 077
5673 020 012 045 078 034
6133 034 080 055 078 045
7873 060 100 056 078 078
8023 070 010 066 078 056
9893 034 009 077 078 020
6134 034 080 055 078 045
7874 060 100 056 078 078
8024 070 010 066 078 056
9894 034 009 077 078 020
9895 034 009 077 078 020
